action_id,investigation_id,breach_id,kri_id,severity,action_type,action_description,owner_role,due_state,status,portfolio_use_impact,model_change_required,production_change_required
ACT-001,INV-001,,E3-KRI-001,AMBER,WATCH,"WATCH: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-002,INV-002,,E3-KRI-002,AMBER,WATCH,"WATCH: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-003,INV-003,,E3-KRI-003,AMBER,WATCH,"WATCH: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-004,INV-004,,E5-CALIBRATION_GAP-2017-01,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-005,INV-005,,E5-CALIBRATION_GAP-2017-08,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-006,INV-006,,E5-CALIBRATION_GAP-2017-10,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-007,INV-007,,E5-CALIBRATION_GAP-2017-11,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-008,INV-008,BR-001,E5-CALIBRATION_GAP-2017-12,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-009,INV-009,,E5-CALIBRATION_GAP-2017Q4,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-010,INV-010,,E5-CALIBRATION_SLOPE-OOT,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-011,INV-011,,E5-CALIBRATION_SLOPE-2017-01,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-012,INV-012,,E5-CALIBRATION_SLOPE-2017-06,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-013,INV-013,,E5-CALIBRATION_SLOPE-2017-07,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-014,INV-014,BR-002,E5-CALIBRATION_SLOPE-2017-08,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-015,INV-015,,E5-CALIBRATION_SLOPE-2017-09,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-016,INV-016,BR-003,E5-CALIBRATION_SLOPE-2017-10,RED,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-017,INV-017,,E5-CALIBRATION_SLOPE-2017-12,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-018,INV-018,,E5-CALIBRATION_SLOPE-2017Q3,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-019,INV-019,,E5-CALIBRATION_SLOPE-2017Q4,AMBER,CALIBRATION_REVIEW,"CALIBRATION_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-020,INV-020,,E7-CAPACITY-GROWTH,AMBER,POLICY_REVIEW,"POLICY_REVIEW: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
ACT-021,INV-021,,E7-CAPACITY-BALANCED,AMBER,WATCH,"WATCH: retain evidence, review monitoring signal; no automatic retraining",PORTFOLIO_ANALYTICS_OWNER,OPEN,OPEN,False,False,False
